,Unnamed: 0,Community,Id,Request,Timestamp,UserId,Reputation,Upvotes,Downvotes,S_0,P_0,S_1,P_1,S_2,P_2,S_3,P_3,S_4,P_4,S_5,P_5
37270,37271,092011 Stack Overflow,313279,"I'm not sure why you say you need a doubly-linked list.  Why not just maintain two pointers, one to the head, and one to the tail?",2009-01-30 22:21:58,7856,6182,1056,75,I'm not sure why you say you need a doubly-linked list.,0.31612336983393546,"Why not just maintain two pointers, one to the head, and one to the tail?",0.19957307183469855,document,0.257848220834317,0,0.0,0,0.0,0,0.0
19576,19576,092011 Server Fault,57967,"If you do that, what exactly is the effect?  An example?",2009-10-05 19:17:21,9227,1642,142,12,"If you do that, what exactly is the effect?",0.23262777423926026,An example?,0.430344492174503,document,0.33148613320688164,0,0.0,0,0.0,0,0.0
91719,91722,092011 Stack Overflow,2002915,"How many bugs is an application allowed to have before you consider it to be ""buggy""? Also, in the case of this Connect bug report, I wonder if the values of the variables were dependent on the order of evaluation of the expressions?",2010-01-15 16:20:44,76337,73140,5973,1619,"How many bugs is an application allowed to have before you consider it to be ""buggy""?",0.252204086235962,"Also, in the case of this Connect bug report, I wonder if the values of the variables were dependent on the order of evaluation of the expressions?",0.6938973921354213,document,0.4730507391856917,0,0.0,0,0.0,0,0.0
168631,168635,092011 Stack Overflow,4112144,thanks. And how to test for number?,2010-10-05 18:00:15,352285,72,0,0,thanks.,0.439007418522547,And how to test for number?,0.4613743838885338,document,0.4501909012055404,0,0.0,0,0.0,0,0.0
39750,39751,092011 Stack Overflow,399970,"Yes, I'm afraid so. Do you happen to have a ""Hello world"" haproxy conf that captures a cookie, and an example request that triggers it?",2009-02-25 21:51:56,91385,1832,35,5,"Yes, I'm afraid so.",0.5558670952782335,"Do you happen to have a ""Hello world"" haproxy conf that captures a cookie, and an example request that triggers it?",0.4870248598110655,document,0.5214459775446495,0,0.0,0,0.0,0,0.0
320028,320034,092011 Stack Overflow,7899291,are you using sql server? my sql?,2011-07-13 12:06:56,688477,1822,174,1,are you using sql server?,0.5,my sql?,0.439007418522547,document,0.4695037092612735,0,0.0,0,0.0,0,0.0
45258,45259,092011 Stack Overflow,577131,Well how do you store the data into the database? Or are you just reading the data from it?,2009-04-19 11:52:48,53114,125170,1272,181,Well how do you store the data into the database?,0.5186381299634376,Or are you just reading the data from it?,0.3875600195904782,document,0.4530990747769579,0,0.0,0,0.0,0,0.0
273375,273381,092011 Stack Overflow,6745512,What error do you get? NullPointerException?,2011-05-03 10:00:45,473070,12747,1393,37,What error do you get?,0.46746186113709226,NullPointerException?,0.439007418522547,document,0.4532346398298196,0,0.0,0,0.0,0,0.0
113429,113432,092011 Stack Overflow,2614030,@wilhelmtell: Keep going on that line. :) (Is that a draft?),2010-04-09 00:02:20,87234,69847,7190,294,@wilhelmtell: Keep going on that line.,0.448587116563217,:) (Is that a draft?),0.5946069993076815,document,0.5215970579354492,0,0.0,0,0.0,0,0.0
224743,224747,092011 Stack Overflow,5549875,"My code is almost the same, except that pictureRGB is uint8_t. Does this one have any significance?",2011-02-11 16:47:54,574911,339,19,1,"My code is almost the same, except that pictureRGB is uint8_t.",0.4562826921929412,Does this one have any significance?,0.419130128944931,document,0.4377064105689361,0,0.0,0,0.0,0,0.0
371816,371826,092011 Webmasters,13899,"If you use 301 Google, and the likes, should be able to pick up the change.  We won\xe2\x80\x99t google find the human readable URLs?",2011-06-08 10:55:37,8033,101,2,0,"If you use 301 Google, and the likes, should be able to pick up the change.",0.5584330444303468,We won\xe2\x80\x99t google find the human readable URLs?,0.4282293521223862,document,0.4933311982763665,0,0.0,0,0.0,0,0.0
241349,241353,092011 Stack Overflow,5964741,Your file logic looks fine. What's happening in the `<snip>` between opening and closing?,2011-03-13 17:24:59,648615,1858,72,1,Your file logic looks fine.,0.439007418522547,What's happening in the `<snip>` between opening and closing?,0.36862851849085254,document,0.40381796850669976,0,0.0,0,0.0,0,0.0
98148,98151,092011 Stack Overflow,2185321,Seems simple enough to try. Does it work?,2010-02-09 15:45:02,64193,6692,285,108,Seems simple enough to try.,0.44720604663631436,Does it work?,0.5246540608677995,document,0.48593005375205695,0,0.0,0,0.0,0,0.0
299598,299604,092011 Stack Overflow,7393669,You are returning True if Choice.SelectedItem is nothing.  Is the procedure that is calling Check_Domain expecting a False value?,2011-06-12 17:37:41,719186,3382,326,26,You are returning True if Choice.SelectedItem is nothing.,0.4161204391109254,Is the procedure that is calling Check_Domain expecting a False value?,0.4908190649159552,document,0.4534697520134403,0,0.0,0,0.0,0,0.0
60941,60943,092011 Stack Overflow,1075005,"If the model is built using POCOs, having a `ManufacturerID` property on the `Car` doesn't seem right to me. Is this really the preferred way of solving this kind of model binding?",2009-08-08 09:59:45,121364,9773,1534,370,"If the model is built using POCOs, having a `ManufacturerID` property on the `Car` doesn't seem right to me.",0.5283973782899972,Is this really the preferred way of solving this kind of model binding?,0.4507867857835579,document,0.48959208203677756,0,0.0,0,0.0,0,0.0
131220,131224,092011 Stack Overflow,3103133,"Re ""restart the server""..which server? Database or web?",2010-06-13 19:56:34,19797,2055,407,10,"Re ""restart the server""..which server?",0.4611988403311747,Database or web?,0.439007418522547,document,0.4501031294268608,0,0.0,0,0.0,0,0.0
43754,43755,092011 Stack Overflow,528605,Excuse you? Seriously...what?,2009-04-04 04:47:51,83473,232,103,8,Excuse you?,0.42420286289271475,Seriously...what?,0.2848526284970015,document,0.3545277456948581,0,0.0,0,0.0,0,0.0
85500,85503,092011 Stack Overflow,1820847,Thanks for the article reference.  The process sounds painful do you know if this is true for both 3.5 and 4.0?,2009-12-16 15:38:52,81514,3616,1064,11,Thanks for the article reference.,0.6071429583069679,The process sounds painful do you know if this is true for both 3.5 and 4.0?,0.40773000222855676,document,0.5074364802677623,0,0.0,0,0.0,0,0.0
354497,354506,092011 Stack Overflow,8738900,"Did you actually change the URL in VisualSVN? If not, what error do you get?",2011-08-31 19:05:35,187606,128247,9268,2577,Did you actually change the URL in VisualSVN?,0.42449080023790553,"If not, what error do you get?",0.5,document,0.46224540011895277,0,0.0,0,0.0,0,0.0
